Category,Code,Offence description,Statute
Violence Against the Person ABH +,00840,Religiously aggravated malicious wounding or GBH,Offences Against the Person Act 1861 S.20 as amended by Crime and Disorder Act 1998 S.29(1)(a) & (2)
Violence Against the Person ABH +,00841,Religiously aggravated ABH,Offences Against the Person Act 1861 S.47 as amended by Crime and Disorder Act 1998 S.29(1)(b) & (2)
Violence Against the Person ABH +,00842,Religiously aggravated common assault,Common law and Crime and Disorder Act 1998 S.29(1)(c) &(3)
Violence Against the Person ABH +,00846,Racially or religiously aggravated malicious wounding or GBH,Offences Against the Person Act 1861 S.20 as amended by the Crime and Disorder Act 1998 S.29(1)(a) & (2)
Violence Against the Person ABH +,00847,Racially or religiously aggravated ABH,Offences Against the Person Act 1861 S.47 as amended by the Crime and Disorder Act 1998 S.29(1)(b) & (2)
Violence Against the Person ABH +,00848,Racially or religiously aggravated common assault.,Common Assault and Crime and Disorder Act 1998 S.29(1)(c) & (3)
Violence Against the Person ABH +,00852,"Excise, infibulate or otherwise mutilate the whole or any part of a girl's labia majora, labia minora or clitoris; Aid, abet, counsel or procure a girl to excise, infibulate or otherwise mutilate the whole or any part of her own labia majora, labia minora or clitoris; Aid, abet, counsel or procure a non-UK national or person who is not a permanent UK resident to do a relevant act of female genital mutilation outside the UK",Female Genital Mutilation Act 2003 SS.1(1) and 5; SS.2 & 5; SS.3 & 5
Violence Against the Person ABH +,00857,Racially or religiously aggravated common assault or beating,Crime and Disorder Act 1998_S.29(1)(c) & (3)_
Violence Against the Person ABH +,00859,Racially or religiously aggravated wounding or grievous bodily harm,Crime and Disorder Act 1998_S.29(1)(a) & (2)_
Violence Against the Person ABH +,00860,Racially or religiously aggravated assault occasioning actual bodily harm,Crime and Disorder Act 1998_S.29(1)(b) & (2)_
Violence Against the Person ABH +,00868,Fail to protect girl from risk of genital mutilation,Serious Crime Act 2015 s. 3A(1) & 5(2)
Violence Against the Person ABH +,00869,Care worker ill-treat / wilfully neglect an individual,Criminal Justice and Courts Act 2015 s. 20(1) & (2)
Violence Against the Person ABH +,00870,Care provider breach duty of care resulting in ill-treatment / neglect of individual,Criminal Justice and Courts Act 2015 s. 21(1) & 23(1)
Violence Against the Person ABH +,00873,Assault of an emergency worker,Criminal Justice Act 1988 & Assaults on Emergency Workers (Offences) Act 2018 s.1 & s.39
Violence Against the Person ABH +,01100,Cruelty to or neglect of children    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,01102,Neglecting to provide for apprentice or servant,Offences against the Person Act 1861 S.26
Violence Against the Person ABH +,01103,Cruelty to or neglect of children,Children and Young Persons Act 1933 S.1
Violence Against the Person ABH +,01200,Abandoning children under two years,Offences against the Person Act 1861 S.27
Violence Against the Person ABH +,01300,Abduction of children    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,01301,Abduction of a child by parent,Child Abduction Act 1984 S.1 as amended by the Children Act 1989
Violence Against the Person ABH +,01302,Abduction of a child by other persons,Child Abduction Act 1984 S.2 as amended by the Children Act 1989
Violence Against the Person ABH +,01400,Procuring illegal abortion    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,01401,Administering or using drugs or using instruments to procure abortion,Offences against the Person Act 1861 S.58 as amended by the Abortion Act 1967
Violence Against the Person ABH +,01402,Procuring drugs etc. to cause abortion,Offences against the Person Act 1861 S.59 as amended by the Abortion Act 1967
Violence Against the Person ABH +,01500,Concealment of birth,Offences against the Person Act 1861 S.60
Violence Against the Person ABH +,03500,Blackmail,Theft Act 1968 S.21
Violence Against the Person ABH +,03600,Kidnapping    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,03601,Kidnapping,Common Law
Violence Against the Person ABH +,03602,Hijacking,"Aviation Security Act 1982 SS.1-6(2); Channel Tunnel (Security) Order 1994 Articles 4, 5, 7 and 8 [S.1(7)Channel Tunnel Act 1987]"
Violence Against the Person ABH +,03603,False imprisonment,Common Law
Violence Against the Person ABH +,03604,Detaining and threatening to kill or injure a hostage,Taking of Hostages Act 1982
Violence Against the Person ABH +,03605,Forced marriage,"Anti-social Behaviour, Crime and Policing Act 2014 S.121(1)"
Violence Against the Person ABH +,03606,Hold person in slavery or servitude,Modern Slavery Act 2015 S. 1(1)(a) & 5(1)
Violence Against the Person ABH +,03607,Require person to perform forced or compulsory labour,Modern Slavery Act 2015 S. 1(1)(b) & 5(1)
Violence Against the Person ABH +,03608,UK national arrange or facilitate travel of another person with a view to exploitation,Modern Slavery Act 2015 S. 2(1) & 5(1)
Violence Against the Person ABH +,03610,Commit offence other than kidnapping or false imprisonment with intention of arranging travel with view to exploitation,Modern Slavery Act 2015 S. 4 & 5(2)
Violence Against the Person ABH +,03611,Commit offence of kidnapping or false imprisonment with intention of arranging travel with view to exploitation,Modern Slavery Act 2015 S. 4 & 5(3)
Violence Against the Person ABH +,03612,Do act prohibited by slavery and trafficking risk or prevention order,Modern Slavery Act 2015 S. 30(1) & 30(3)
Violence Against the Person ABH +,03613,Fail to comply with requirement to surrender passport under Modern Slavery Act 2015,Modern Slavery Act 2015 S. 30(2)(a) & 30(3)
Violence Against the Person ABH +,03614,Fail to comply with requirement to provide name and address under Modern Slavery Act 2015,Modern Slavery Act 2015 S. 30(2)(b) & 30(3)
Violence Against the Person ABH +,03701,"Aggravated Taking of a Vehicle: Where, owing to the driving of the vehicle, an accident occurs causing the death of any person",Theft Act 1968 S.12A as added by the Aggravated Vehicle Taking Act 1992 S.1
Violence Against the Person ABH +,05915,"Possessing or making an explosive substance, a noxious or dangerous thing, a machine, engine or instrument with intent to commit an offence under Offences against the Person Act 1861",Offences against the Person Act 1861
Violence Against the Person ABH +,06697,Breach Forced Marriage Protection Order,"Anti-social Behaviour, Crime and Policing Act 2014 S63"
Violence Against the Person ABH +,06804,Breach a Female Genital Mutilation protection order,Serious Crime Act 2015 S.para 4(1) & 4(5) Sch 1
Violence Against the Person ABH +,07902,Intimidating a juror or witness or person assisting in investigation of offence,Criminal Justice & Public Order Act 1994 S.51(1)
Violence Against the Person ABH +,07903,"Harming or threatening to harm a witness, juror or person assisting in investigation",Criminal Justice & Public Order Act 1994 S.51(2)
Violence Against the Person ABH +,07904,Intimidating or intending to intimidate a witness,Criminal Justice & Police Act 2001 S.39
Violence Against the Person ABH +,07905,Harming or intending to harm a witness,Criminal Justice & Police Act 2001 S.40
Violence Against the Person ABH +,09413,Act as crew of aircraft when under influence of drink / drug impairing capacity,Air Navigation Order 2016 S.Articles 242(2) and 265(7)
Violence Against the Person ABH +,09414,Intentionally interfere with performance of aircraft crew member's duty,Air Navigation Order 2016 S.Articles 245(c) and 265(7)
Violence Against the Person ABH +,09415,Recklessly / negligently act in manner likely to endanger aircraft / person in an aircraft,Air Navigation Order 2016 S.Articles 240 and 265(8)
Violence Against the Person ABH +,09416,Shine / direct laser beam towards a vehicle,Laser Misuse (Vehicles) Act 2018 S.s.1(1)
Violence Against the Person ABH +,09417,Shine / direct laser beam towards an air traffic facility/a person providing air traffic services,"Laser Misuse (Vehicles) Act 2018 S.s.2(1)(a)(i, ii)"
Violence Against the Person ABH +,09925,Knowingly holding another person in slavery or servitude,"Coroners and Justice Act 2009, S.71(1)(a) & (3)"
Violence Against the Person ABH +,09926,Knowingly requiring another person to perform forced or compulsory labour,"Coroners and Justice Act 2009, S.71(1)(b) & (3)"
Violence Against the Person ABH +,09979,Recklessly or negligently acting in a manner likely to endanger an aircraft or any person therein,Air Navigation Order 2000 Articles 63 & 122(6) & SCH.12C
Violence Against the Person ABH +,09980,Recklessly or negligently causing or permitting an aircraft to endanger any person or property,Air Navigation Order 2000 Articles 64 & 122(6) & SCH.12C
Violence Against the Person ABH +,10900,Cruelty to or neglect of children    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,10901,"Causing or allowing a person under 16 to take part in dangerous performance; causing or allowing the training of a person under 12, or without a licence a person under 16 to take part in a dangerous performance",Children and Young Persons Act 1933 SS.23 and 24
Violence Against the Person ABH +,10902,Offences in relation to taking children to nurse for reward,Children Act 1989 SS.70 and 78
Violence Against the Person ABH +,10903,"Ill-treatment, neglect, exposure, etc of child or young person by person having custody of same",
Violence Against the Person ABH +,10905,Exposing child to risk of burning,Children and Young Persons Act 1933 S.11
Violence Against the Person ABH +,10906,Allowing child or young person to be in brothel,Children and Young Persons Act 1933 S.3
Violence Against the Person ABH +,10907,Neglecting to provide for safety of children at children's entertainment,Children and Young Persons Act 1933 S.12
Violence Against the Person ABH +,10908,Permitting child to be in verminous condition,Education Act 1996 S.525 (consolidating Acts 1944 - 1996)
Violence Against the Person ABH +,10909,"Ill-treatment, etc of illegitimate child",
Violence Against the Person ABH +,00877,Nonfatal strangulation or suffocation,Serious Crime Act 2015 S.75A & S.75B as amended by the Domestic Abuse Act 2021 S.70
Violence Against the Person ABH +,06821,"Offences relating to carrying out, aiding or abetting the carrying out of a virginity test",
Violence Against the Person ABH +,06822,"Offences relating to carryin out of a hymenoplasty, aiding and abbeting the carrying out of a hymenoplasty",
Violence Against the Person ABH +,09418,Shine / direct laser beam towards an air traffic facility /a person providing air traffic services,
Violence Against the Person ABH +,19702,Smoking in a vehicle in which a child was present,
Violence Against the Person ABH +,19703,Driver fail to prevent smoking in a vehicle in which child was present - England & Wales,
Violence Against the Person Sub ABH,Home Office Code,Offence description,Statute
Violence Against the Person Sub ABH,00821,Owner or person in charge allowing dog to be dangerously out of control in a public place injuring any person,Dangerous Dogs Act 1991 S.3(1) [Aggravated Offences]
Violence Against the Person Sub ABH,00822,Owner or person in charge allowing dog to enter a non-public place and injuring any person,Dangerous Dogs Act 1991 S.3(3) [Aggravated Offences]
Violence Against the Person Sub ABH,10300,Aggravated assaults,
Violence Against the Person Sub ABH,10400,Assault    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person Sub ABH,10401,"Assault on constable - Vagrancy Act 1824 s. 4, 5 and 11 (1963)",
Violence Against the Person Sub ABH,10402,Assault on constable - Special Constables Act 1831 s. 11 (1963),
Violence Against the Person Sub ABH,10404,Assault on constable - Canals (Offences) Act 1840 s. 6 (1963),
Violence Against the Person Sub ABH,10405,Assault on constable - Town Police Clauses Act 1847 s. 20 (1963),
Violence Against the Person Sub ABH,10406,Assault on constable - Metropolitan Police Act 1861 s. 3 (1963),
Violence Against the Person Sub ABH,10407,"Assault on constable - Prevention of Crimes Act 1871, s. 12 (1963)",
Violence Against the Person Sub ABH,10408,Assault on constable - Municipal Corporations Act 1882 s. 195 (1963),
Violence Against the Person Sub ABH,10409,Assault on constable - Prevention of Crimes Amendment Act 1885 s. 2 (1963),
Violence Against the Person Sub ABH,10420,Assault on constable - Offences against similar provisions in Local Acts (1963),
Violence Against the Person Sub ABH,10422,Assault on constable - Special Constables Act 1831 (1964),
Violence Against the Person Sub ABH,10423,Assault on a constable,Police Act 1996 S.89(1)
