Code,subcode,Offence description,Violent offence
09945,9945.0,Health and Safety Regulations made under Merchant Shipping Act 1995,No
09946,9946.0,Disclosure of information for enforcing warrants - Magistrates' Courts Act 1960 S.125(c) as added by Access to Justice Act 1999,No
09947,9947.0,Restriction on disclosure - Nuclear Safeguards Act 2000,No
09948,9948.0,Areas of special scientific interest - Wildlife & Countryside Act 1981 S.28P as added by the Countryside & Rights of Way Act 2000 Sch.9,No
09949,9949.0,Enforcement; wildlife inspectors: falsely pretending to be wildlife inspector.,No
09950,9950.0,Contravening or failing to comply with direction or making a disclosure in contravention of a direction made in the interest of national security etc.,No
09951,9951.0,Providing particulars or recklessly providing particulars which are known are false in a material particular way,No
09952,9952.0,"Contravening or failing to comply with a direction given in times of severe international tension, great national emergency or actual or imminent hostilities",No
09953,9953.0,Knowingly giving false information or false statement in connection with this Part of the Act - Transport Act 2000 S.101,No
09954,9954.0,Prohibition on disclosure of information gained under this Part of the Act - Transport Act 2000 S.102 Sch.9(5),No
09955,9955.0,Regulations made under Section 247 Transport Act 2000 (TEW offences),No
09956,9956.0,"Unlawful intercepting of a postal, public or private telecommunications scheme",No
09957,9957.0,Fail to give effect to an interception warrant,No
09958,9958.0,Unlawful disclosure of details of interception warrant,No
09959,9959.0,Fail to disclose key to protected information,No
09960,9960.0,"Disclosing details of Section 49 Notice, Regulation of Investigatory Powers Act 2000",No
09961,9961.0,"TEW offences - Political Parties, Elections and Referendums Act 2000",No
09962,9962.0,All TEW offences made under BSE Regulations,No
09963,9963.0,Using unlicensed security operative,No
09964,9964.0,Using unlicensed wheel clampers,No
09965,9965.0,Right to use approved status - Private Security Industry Act 2001,No
09966,9966.0,Imposition of requirements for approval - Private Security Industry Act 2001,No
09967,9967.0,All TEW offences made under Foot and Mouth Regulations,No
09968,9968.0,Leaving the UK when prohibited by Travel Restriction Order,No
09969,9969.0,Failure to return after a suspension (Travel Restriction Order),No
09970,9970.0,TEW offences (except Article 65) under Air Navigation (Overseas Territories) Order 2001,No
09971,9971.0,TEW offences under Telecommunications Act 1984,No
09972,9972.0,TEW regulations made under Part 8 - Anti-Terrorism Crime and Security Act 2001,Yes
09973,9973.0,"Regulations may create a criminal offence - direction under SS.12-14 - Aviation Security Act 1982 S.20A (3)(c) & (4)(a) as added by Anti-Terrorism, Crime and Security Act 2001 S.85",No
09974,9974.0,Failing to comply with a requirement of a detention direction or intentionally obstructing a person acting in accordance with ss.3 - authorised person ensuring aircraft does not fly,No
09975,9975.0,Placing in a woman a human embryo which has been created otherwise than by fertilisation,No
09976,9976.0,"Carry on a regulated activity when not an authorised or exempt person. In the course of business communicate an invitation or inducement to engage in an investment activity. Offer or request admission of transferable securities to UK public when an approved prospectus was not made available. Doing, causing or permitting the falsification, concealment, destruction or disposal of a document during a Part XI investigation or providing false or misleading information. Contravention of provisions for giving notice to the FSA of intention to acquire, increase, reduce or cease control over UK authorised person. Making an acquisition in contravention of a warning, decision or final notice. Contravention of consumer credit restrictions. Disclosing information in contravention of SS.348 or 350(5). UK firm exercise European Economic Area right to provide services when no notice given to Financial Services Authority. - Financial Services and Markets Act 2000",No
09977,9977.0,Re-programming mobile telephones etc,No
09978,9978.0,Possession or supply of anything used for re-programming purposes,No
09979,9979.0,Recklessly or negligently acting in a manner likely to endanger an aircraft or any person therein,Yes
09980,9980.0,Recklessly or negligently causing or permitting an aircraft to endanger any person or property,Yes
09981,9981.0,Delaying or opening postal packet or mailbag,No
09982,9982.0,All other TEW offences - Postal Services Act 2000 (except SS.83 and 85),No
09983,9983.0,Prohibition on sending by post of certain articles,No
09984,9984.0,TEW offences - Consumer Credit Act 1974 (except S.39),No
09985,9985.0,Engaging in activities requiring a licence - Consumer Credit Act 1974,No
09986,9986.0,Ill treatment of patients,No
09987,9987.0,Assisting patients to absent themselves without leave etc.,No
09988,9988.0,"TEW offences - Railways and Transport Safety Act 2003 except 5/25(S.92,S.95),7/13(S.78), 95/15 (S.10);",No
09989,9989.0,TEW offences - Communications Act 2003 except SS.125 and 126,No
09990,9990.0,Dishonestly obtaining electronic communications services,No
09991,9991.0,Possession or supply of apparatus for contravening Section 125 - Communications Act 2003,No
09992,9992.0,Failure to comply with requirements of work notice.,No
09993,9993.0,TEW offences under Water Industry Act 1991. Disclosing matter contrary to notice of Secretary of State that disclosure would be against national security,No
09994,9994.0,"Dishonestly dealing in a cultural object that is tainted, knowing or believing that the object is tainted",No
09995,9995.0,TEW offences under The Horse Passports (England) Regulations 2003 & Horse Passports Regulations 2009,No
09996,9996.0,TEW offences under Animal & Animal Products (Import & Export) Regulations 2004 & Animal and Animal Products (Import and Export) (No.2) Regulations 2004 R.33,No
09997,9997.0,TEW offences - Common Agricultural Policy (Protection of Community Arrangements) Regulations 1992,No
09998,9998.0,Acting as a gangmaster in contravention of Section 6 (prohibition of unlicensed activities),No
09999,9999.0,Other offences (specify offence and Act and Section (or Common Law) under which proceedings were taken),No
10100,10100.0,"Adulteration of food, drugs, etc    [Use this code only if you are unable to determine which subcoded Offence applies]",No
10102,10102.0,All offences under Agriculture Act 1970,No
10106,10106.0,All offences under Plant Varieties and Seeds Act 1964 as amended by the Agriculture (Miscellaneous Provisions) Act 1968.,No
10107,10107.0,All offences under Food Safety Act 1990 S.33(1) or (b) & 35(1),No
10108,10108.0,All offences under The Organic Farming Regulations 1999 Reg.19 (SI 590/99) and The Organic Farming Scheme (Wales) Regulations 2001 Reg.19 (SI 424/2001),No
10109,10109.0,All summary offences under The Organic Products Regulations 2004,No
10110,10110.0,Failure to comply with specified Community provision referred to in Part II of the Schedule - Genetically Modified Animal Feed (England) Regulation 2004 Reg. 5(2) Sch Pt II (S.I 2334/2004),No
10111,10111.0,Contravention of a notice under sub-paragraph 8(2)(a) - Genetically Modified Animal Feed (England) Regulation 2004 Regs. 5(3) & 8(2) (S.I 2334/2004),No
10112,10112.0,Failure to comply with specified Community provision referred to in Part II of the Schedule - Genetically Modified Animal Feed (England) Regulation 2004 Reg. 5(2) Sch Pt II (S.I 2334/2004),No
10120,10120.0,"Adulteration of food, drugs, etc - other similar offences",No
10300,10300.0,Aggravated assaults,Yes
10400,10400.0,Assault    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
10401,10401.0,"Assault on constable - Vagrancy Act 1824 s. 4, 5 and 11 (1963)",Yes
10402,10402.0,Assault on constable - Special Constables Act 1831 s. 11 (1963),Yes
10404,10404.0,Assault on constable - Canals (Offences) Act 1840 s. 6 (1963),Yes
10405,10405.0,Assault on constable - Town Police Clauses Act 1847 s. 20 (1963),Yes
10406,10406.0,Assault on constable - Metropolitan Police Act 1861 s. 3 (1963),Yes
10407,10407.0,"Assault on constable - Prevention of Crimes Act 1871, s. 12 (1963)",Yes
10408,10408.0,Assault on constable - Municipal Corporations Act 1882 s. 195 (1963),Yes
10409,10409.0,Assault on constable - Prevention of Crimes Amendment Act 1885 s. 2 (1963),Yes
10420,10420.0,Assault on constable - Offences against similar provisions in Local Acts (1963),Yes
10422,10422.0,Assault on constable - Special Constables Act 1831 (1964),Yes
10423,10423.0,Assault on a constable,Yes
10424,10424.0,Assault on constable - Canals (Offences Act) 1840 (1964),Yes
10425,10425.0,Assaulting a designated person or his assistant in the exercise of a relevant power,Yes
10426,10426.0,Assault on constable - Metropolitan Police Act 1861 s. 3 (1964-),Yes
10427,10427.0,Assault on constable - Prevention of Crimes Act 1871 s. 12 (1964),Yes
10428,10428.0,Assault on constable - Municipal Corporations Act 1882 s. 195 (1964),Yes
10430,10430.0,Assault on constable: Offences against similar provisions in Local Acts,Yes
10431,10431.0,Offences under Vagrancy Act 1824 SS.4 and 5,Yes
10433,10433.0,Resisting or obstructing a constable in execution of duty - offences under the Police Act 1996,Yes
10435,10435.0,Resisting or wilfully obstructing a designated person or his assistant in exercise of such power,Yes
10436,10436.0,Assaulting a member of a joint investigation team carrying out his functions as a member of that team,Yes
10437,10437.0,Obstructing a person in the exercise of any rights conferred by a warrant under S.66 - power to enter and seize documents,Yes
10438,10438.0,Resisting or wilfully obstructing a member of a joint investigation team carrying out his functions as a member of that team,Yes
10439,10439.0,Assaulting or obstructing a Customs or Revenue officer,Yes
10440,10440.0,Assault: Offences against similar provisions in Local Acts,Yes
10442,10442.0,Body fail to comply with a community protection notice [sic],Yes
10444,10444.0,Fail to comply with a public spaces protection order,No
10445.0,10445.0,Fail to comply with requirement not to consume / surrender alcohol,No
10500,10500.0,Common assaults etc    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
10501,10501.0,Common assault and battery,Yes
10502,10502.0,"Assaults to prevent sale of corn, Assaults to hinder seamen from working, Assaults upon County Court Officers, Assaults punishable under special enactments and not falling under other headings",Yes
10503,10503.0,"Assaulting, resisting or obstructing a person assisting a constable",Yes
10504,10504.0,Assaulting a prisoner custody officer or custody officer (STC). Assaulting a custody officer,Yes
10505,10505.0,Resisting or wilfully obstructing a prisoner custody officer or custody officer (STC). Resisting or wilfully obstructing custody officer,Yes
10506,10506.0,Assaulting a court security officer,Yes
10507,10507.0,Resisting or wilfully obstructing a court security officer,Yes
10508,10508.0,"Assaulting a designated or accredited person, or person assisting him or her, in the execution of his or her duty",Yes
10509,10509.0,"Resisting or wilfully obstructing a designated or accredited person, or person assisting, in the execution of his or her duty",Yes
10510,10510.0,Assaulting a traffic officer,Yes
10511,10511.0,Resisting or wilfully obstructing a traffic officer in the execution of his duty,Yes
10512,10512.0,Assault a designated immigration officer exercising section 2 detention powers,Yes
10513,10513.0,Assault an immigration officer,Yes
10514.0,10514.0,Assault an NCA officer or a member of an NCA-led team acting or assisting in the exercise of an operational power,No
10515.0,10515.0,Resist or wilfully obstruct an NCA officer or a member of an NCA-lead team acting or assisting in the exercise of an operational power,No
10516.0,10516.0,Assault a supreme court security officer,No
10517.0,10517.0,Resist or wilfully obstruct a supreme court security officer,No
10521,10521.0,Assault a custody officer performing custodial duties at a contracted-out secure college,Yes
10522,10522.0,Resist / wilfully obstruct custody officer performing contracted-out functions at directly managed secure college,Yes
10523,10523.0,Assault custody officer performing contracted-out functions at directly managed secure college,Yes
10524,10524.0,Obstruct police / customs officer executing a drug-cutting agent search and seizure warrant,Yes
10525,10525.0,Assault/resist or wilfully obstruct appropriate person acting in exercise of relevant power,Yes
10600,10600.0,"Betting, Gaming and Lotteries    [Use this code only if you are unable to determine which subcoded Offence applies]",No
10602,10602.0,For purpose of effecting a betting transaction resorting to premises being used in contravention of sub-section (1),No
10604,10604.0,Agent of bookmaker or Totalisator Board to be Authorised and Registered Person acting in contravention of Section 3,No
10605,10605.0,Contravention of requirement to keep a register in prescribed form,No
10606,10606.0,Refusal etc: to produce register for examination by a Constable,No
10607,10607.0,"Conduct of licensed betting offices, Contravention of rules",No
10608,10608.0,"Drunken, violent, disorderly person etc; refuses or fails to leave premises when requested (licensed betting office)",No
10609,10609.0,Obstructing Constable from entering licensed betting office,No
10610,10610.0,Publishing advertisement other than in a licensed betting office or premises giving access to such office,No
10611,10611.0,Having betting transaction with young person,No
10612,10612.0,Knowingly employing disqualified person in a betting agency,No
10613,10613.0,Refusal or failure to produce bookmaker's permit on request by a Constable,No
10620,10620.0,Making a false statement in application for permit or Betting Office Licence,No
10621,10621.0,Failing to notify change in directors to appropriate authority and Officer of police,No
10623,10623.0,"Sending circulars to person under 21 years of age, inviting bets",No
10624,10624.0,"Frequenting or loitering in a street etc for purpose of bookmaking, betting etc",No
10629,10629.0,Refusal to produce betting agency permit on request by a constable,No
10630,10630.0,"Employing young person in effecting betting transaction, or in a licensed betting office, or betting through a young person",No
10631,10631.0,Obstructing constable from entry on track,No
10632,10632.0,Disclosing information concerning bookmaker,No
10636,10636.0,Contravention of any provisions of Schedule 5 - totalisators on Dog Racecourses. Obstructing any empowered person; neglecting or refusing to give information; giving false or misleading information,No
10643,10643.0,Special provisions with respect to charges to bookmakers and occupiers of tracks not to have an interest in bookmaking thereon,No
10644,10644.0,Failure to supply accounts and send copies of audited accounts to Gaming Board,No
10645,10645.0,"Obstructing, failing to co-operate with supervising accountant or technical adviser or supplying false or misleading information",No
10646,10646.0,Provision of facilities for gambling unless authorised by an operating licence or covered by a specific exception.,No
10647,10647.0,Use of premises for gambling without a licence,No
10648,10648.0,"Manufacturing, supplying, installing or adapting, in the course of a business, computer software for remote gambling without an operating licence",No
10649,10649.0,"Inviting another to join, or participating in promotion, administration or management of a chain-gift scheme",No
10650,10650.0,Inviting children and young persons to gamble; participation by young persons in gambling. (People under 18 are not allowed to gamble),No
10651,10651.0,Invitation to enter premises; young persons entering premises. (Child and young person may not enter gambling premises),No
10652,10652.0,Provision of facilities for gambling; young person providing facilities for gambling,No
10653,10653.0,Employment offences: employing children and young persons to provide facilities for gambling,No
10654,10654.0,"Invitation to participate in lottery: inviting, causing or permitting a child to take part in a lottery",No
10655,10655.0,"Invitation to participate in football pools: inviting, causing or permitting a child to take part in football pools",No
10656,10656.0,Return of stake: failure to return stake money to children or young persons,No
10657,10657.0,"Secretary of State may create offence of inviting, causing or permitting a child or young person below a specified age to use a Category D gaming machine",No
10658,10658.0,"Operating Licence offences: production of licence, conviction or information",No
10659,10659.0,Breach of personal licence condition - Gambling Act 2005,No
10660,10660.0,"Offences connected to gaming machines: making machine available for use; manufacture, supply etc. linked to machines",No
10662,10662.0,Promotion of lottery: facilitating a lottery,No
10663,10663.0,Gaming in street,No
10664,10664.0,Gaming in any other place,No
10665,10665.0,"Holder of Licence, manager etc allowing person under 18 to take part in gaming",No
10666,10666.0,Misusing profits of lottery or exempt lottery,No
10667,10667.0,Small lottery: breach of conditions,No
10668,10668.0,Misusing profits of non-commercial prize gaming,No
10669,10669.0,All regulations controlling the advertising of gambling,No
10670,10670.0,Advertising unlawful gambling,No
10671,10671.0,Advertising foreign gambling other than a lottery,No
10672,10672.0,Giving false or misleading information to the Gambling Commission or licensing authority,No
10673,10673.0,Forfeiture - failure to comply with forfeiture order,No
10681,10681.0,False statement for purpose of obtaining a certificate of approval under Section 19 of the Act or reinstatement of same after revocation by the Board,No
10686,10686.0,"Holder of licence fails to admit Inspector or Constable, fails to permit inspection of premises or machines etc; or produce books or documents or furnish information",No
10687,10687.0,Holder of licence etc not complying with any requirement imposed in relation to any premises by a notice served by virtue of sub-sections (6) or (7) of this Section - Gaming Act 1968,No
10688,10688.0,All other summary offences not included above - Gambling Act 2005,No
10699,10699.0,"Betting, Gaming and Lotteries - Any other similar offences",No
10700,10700.0,Brothel keeping    [Use this code only if you are unable to determine which subcoded Offence applies],No
10701,10701.0,Keeping a brothel,No
10702,10702.0,Letting premises for use as a brothel,No
10703,10703.0,Tenant permitting premises to be used as brothel,No
10704,10704.0,Tenant permitting premises to be used for prostitution,No
10705,10705.0,Keeping a brothel for homosexual practices,No
10706,10706.0,Letting premises for use as a brothel for homosexual practices,No
10707,10707.0,Tenant permitting premises to be used as a brothel for homosexual practices,No
10710,10710.0,Brothel keeping - similar provisions in Local Acts,No
10800,10800.0,Cruelty to animals    [Use this code only if you are unable to determine which subcoded Offence applies],No
10801,10801.0,Experiments on living animals,No
10802,10802.0,Offences under Protection of Animals Act 1911 (as amended),No
10803,10803.0,Confining a bird in a cage so that it cannot stretch its wings; shooting captive birds on release etc.,No
10804,10804.0,Offences under Performing Animals (Regulation) Act 1925,No
10805,10805.0,Offences by person engaged in lairaging of animals,No
10806,10806.0,Offences under Protection of Animals Act 1934. Summary offences under Animal and Animal Products (Import and Export) (England) Regulations 2006,No
10807,10807.0,Offences pertaining to occupier of slaughterhouse - Breach of Regulations- Welfare of Farmed Animals (England) Regulations 2007,No
10808,10808.0,Offences under Docking and Nicking of Horses Act 1949,No
10809,10809.0,Offences under Pet Animals Act 1951,No
10810,10810.0,Offences under Cockfighting Act 1952,No
10811,10811.0,Offences under Protection of Animals (Amendment) Act 1954,No
10812,10812.0,"Offences under Animal Health Act 1981 SS.40-42, 46 and 49 and Orders made under SS.8, 9, 37, 38, 39 and 43",No
10813,10813.0,Offences under Slaughterhouses Act 1974,No
10814,10814.0,Offences under Abandonment of Animals Act 1960 S.1,No
10816,10816.0,Cruelty to Animals - Offences under other enactments,No
10817,10817.0,Offences under Animals (Cruel Poisons) Act 1962,No
10818,10818.0,Offences under Animal Boarding Establishments Act 1963,No
10819,10819.0,Offences under Riding Establishments Acts 1964 and 1970,No
10820,10820.0,Offences under Slaughter of Poultry Act 1967,No
10821,10821.0,"Offences under Agriculture (Miscellaneous Provisions) Act 1968 SS.1, 2 and 6",No
10822,10822.0,Offences under Protection of Badgers Act 1992 (except Section 13),No
10823,10823.0,Offences under Wildlife and Countryside Act 1981 S.9,No
10824,10824.0,Offences under Wildlife and Countryside Act 1981 S.11,No
10825,10825.0,Offences under Wild Mammals (Protection) Act 1996,No
10826,10826.0,Offences under Protection of Animals (Amendment) Act 2000 SS.3 & 4,No
10827,10827.0,Offences relating to fur farming - Fur Farming (Prohibition) Act 2000 S.1,No
10828,10828.0,Power of entry and enforcement - Fur Farming (Prohibition) Act 2000 S.4,No
10829,10829.0,"Causing, permitting or failing to prevent unnecessary suffering - Animal Welfare Act 2006. Breach of Regulations - Welfare of Farmed Animals (England) Regulations 2007",No
10830,10830.0,"Carrying out, permitting, causing to be carried out or failing to prevent prohibited procedure on a protected animal",No
10831,10831.0,Removing or causing or permitting or failing to prevent removal of dog's tail other than for medical treatment,No
10832,10832.0,Administration of poisons etc to a protected animal,No
10833,10833.0,Offences relating to animal fights,No
10834,10834.0,Failing to ensure needs of animal are met as required by good practice,No
10835,10835.0,Selling animal to person under 16,No
10836,10836.0,Carrying on activity without authority of S.13 licence or carrying on unregistered S.13 activity - Animal Welfare Act 2006,No
10837,10837.0,Breach of a disqualification imposed after conviction of specified offences,No
10838,10838.0,Failing to certify working dog before it is 3 months old; show dog with a removed tail; knowingly give false information to a vet concerning giving of S.6 certificate,No
10839,10839.0,Intentionally obstructing person exercising power conferred by this section relating to an animal in distress,No
10900,10900.0,Cruelty to or neglect of children    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
10901,10901.0,"Causing or allowing a person under 16 to take part in dangerous performance; causing or allowing the training of a person under 12, or without a licence a person under 16 to take part in a dangerous performance",Yes
10902,10902.0,Offences in relation to taking children to nurse for reward,Yes
10903,10903.0,"Ill-treatment, neglect, exposure, etc of child or young person by person having custody of same",Yes
10905,10905.0,Exposing child to risk of burning,Yes
10906,10906.0,Allowing child or young person to be in brothel,Yes
10907,10907.0,Neglecting to provide for safety of children at children's entertainment,Yes
10908,10908.0,Permitting child to be in verminous condition,Yes
10909,10909.0,"Ill-treatment, etc of illegitimate child",Yes
11000,11000.0,"Diseases of Animals Acts, offences against    [Use this code only if you are unable to determine which subcoded Offence applies]",No
11001,11001.0,"All offences under Animal Health Act 1981 (except cases of cruelty under SS.8, 9, 10(1), 13, 37 - 43 or Orders made thereunder, or offences relating to dogs under S.13 and all Orders and Regulations made by Local Authorities under the Act).",No
11002,11002.0,Offences under The Bovine Spongiform Encephalopathy (Feeding Stuffs and Surveillance) Regulations 1999 (SI 882/99) and other BSE Regulations,No
11003,11003.0,All summary offences under Regulations made for foot & mouth disease,No
11004,11004.0,Registered keeper of cattle the subject of Article 21 notice moving an animal or animals onto or off a holding without a licence - Tuberculosis (England) Order 2007,No
11005,11005.0,Keeper of bovine animal failing to comply with a notice to have it tested for tuberculosis,No
11100,11100.0,"Dogs, offences in relation to    [Use this code only if you are unable to determine which subcoded Offence applies]",No
11101,11101.0,Offences in relation to dogs under Town Police Clauses Act 1847 S.28(2-4),No
11102,11102.0,Failure to comply with control order made under Dogs Act 1871 S.2. Failure to comply with destruction order made under Dogs Act 1871 S.1(1)(a). Having custody of dog in breach of disqualification order,Yes
11103,11103.0,Offences in relation to dogs under Dogs Acts 1906 to 1928,No
11104,11104.0,"Offences against Control of Dogs Order 1992, made under SS.13, 72 and 75 of the Animal Health Act 1981 and Regulations made by Local Authorities under such Orders",No
11105,11105.0,Offences in relation to dogs under Dogs (Protection of Livestock) Act 1953,No
11106,11106.0,Offences in relation to dogs under Road Traffic Act 1988 S.27,No
11107,11107.0,Offences in relation to dogs under Breeding of Dogs Act 1973,No
11108,11108.0,Offences in relation to dogs under Breeding of Dogs Act 1991,No
11110,11110.0,Offences in relation to dogs under Local Acts and Byelaws,No
11111,11111.0,Offences in relation to dogs under Environmental Protection Act 1990 S.150,No
11112,11112.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(a) & (7),Yes
11113,11113.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(b) & (7),Yes
11114,11114.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(c) & (7),Yes
11115,11115.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(d) & (7),Yes
11116,11116.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(2)(e) & (7),Yes
11117,11117.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.1(3) & (7),Yes
11118,11118.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.3(1),Yes
11119,11119.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.3(3),Yes
11120,11120.0,Offences in relation to dogs under Dangerous Dogs Act 1991 S.4(8) and Protection of Badgers Act 1992 S.13,Yes
11121,11121.0,Offences in relation to dogs under Dogs (Fouling of Land) Act 1996 S.3,No
11122,11122.0,Offences in relation to dogs under Breeding and Sale of Dogs (Welfare) Act 1999 SS.8 & 9(1),No
11123,11123.0,Offences in relation to dogs under Breeding and Sale of Dogs (Welfare) Act 1999 SS.9(6)& 9(7),No
11124,11124.0,Offences in relation to dogs under Disability Discrimination Act 1995 S.37A as added by Private Hire Vehicles (Carriage of Guide Dogs etc.) Act 2002 S.1,No
11125,11125.0,Unknown dogs offence - to be checked further,No
11200,11200.0,"Education Acts, offences against    [Use this code only if you are unable to determine which subcoded Offence applies]",No
11201,11201.0,Offences against the Education Acts 1944-2002,No
11203,11203.0,Failure to secure regular attendance at school,No
11204,11204.0,Parent knows that child is failing to attend school regularly and fails without reasonable justification to cause him or her to attend school,No
11205.0,11205.0,Obstructing a school inspection,No
11206,11206.0,Failure to comply with requirements of regulations - Early Years Foundation Stage (Welfare) Regulations 2012,No
11300,11300.0,Offences against Explosives Acts 1875 and 1923 (except S.80 of the Explosives Act 1875) and Orders in Council and Rules thereunder. Offences against restrictions relating to the manufacture of fireworks. Offences against Orders made under the Emergency Laws (Miscellaneous Provisions) Act 1953,Yes
11400,11400.0,Financial    [Use this code only if you are unable to determine which subcoded Offence applies],No
11401,11401.0,Summary offences Financial Services and Markets Act 2000,No
11500,11500.0,Offences against the Firearms Act 1968 and other Firearms Acts    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
11504,11504.0,Non-compliance with condition of Firearm Certificate,Yes
11506,11506.0,Non-compliance with condition of shotgun certificate - (Group II),Yes
11518,11518.0,Non-compliance with condition of Secretary of State authority - (Group I),Yes
11519,11519.0,Non-compliance with requirement to surrender authority to possess etc prohibited weapon or ammunition - (Group I),Yes
11520,11520.0,Contravention of order under Section 6 etc restricting removal of arms - (Group I),Yes
11521,11521.0,Making false statement in order to obtain police permit - (Group I),Yes
11522,11522.0,Making false statement in order to obtain police permit - (Group II),Yes
11525,11525.0,Making false statement in order to obtain permit for removal of signalling apparatus - (Group I),Yes
11528,11528.0,Carrying loaded or unloaded imitation firearm or air weapon in public place etc - (Group III).,Yes
11531,11531.0,Trespassing with firearm in a building - (Group III).,Yes
11532,11532.0,Trespassing with firearm on land - (Group I).,Yes
11533,11533.0,Trespassing with firearm on land - (Group II).,Yes
11534,11534.0,Trespassing with firearm on land - (Group III).,Yes
11540,11540.0,Unknown offence presumed to be firearms,Yes
11541,11541.0,Person under 17 acquiring firearm - (Group I).,Yes
11542,11542.0,Person under 17 acquiring firearm - (Group II),Yes
11543,11543.0,Person under 18 acquiring firearm - (Group III),Yes
11544,11544.0,"Person under 14 having firearm in his possession, without lawful authority - (Group I)",Yes
11545,11545.0,Person under 15 having with him a shotgun without adult supervision - (Group II),Yes
11546,11546.0,Person under 18 having with him an air weapon or ammunition therefor - (Group III),Yes
11547,11547.0,Person under 17 having with him an air weapon in a public place - (Group III).,Yes
11548,11548.0,Person under 17 making improper use of air weapon when under supervision - (Group III),Yes
11549,11549.0,"Person supervising person under 17, permitting improper use of air weapon - (Group III)",Yes
11550,11550.0,Selling or letting on hire a firearm to person under 17 - (Group I),Yes
11551,11551.0,Selling or letting on hire a firearm to person under 17 - (Group II),Yes
11552,11552.0,Selling or letting on hire a firearm to person under 18 - (Group III),Yes
11553,11553.0,Supplying firearm or ammunition (being of a kind to which Section 1 of the Act applies) to person under 14 - (Group I),Yes
11554,11554.0,Making gift of shotgun to person under 15 - (Group II),Yes
11555,11555.0,Supplying air weapon to person under 18 - (Group III),Yes
11556,11556.0,Supplying firearm to person drunk or insane - (Group I),Yes
11557,11557.0,Supplying firearm to person drunk or insane- (Group II),Yes
11558,11558.0,Supplying firearm to person drunk or insane - (Group III),Yes
11559,11559.0,Making false statement in order to procure grant or renewal of a firearm certificate - (Group I),Yes
11560,11560.0,Making false statement in order to procure grant or renewal of shot gun certificate - (Group II),Yes
11561,11561.0,Making false statement in order to procure variation of a firearms certificate - (Group I),Yes
11562,11562.0,"Failing to surrender firearm certificate, firearm or ammunition on revocation of certificate - (Group I)",Yes
11563,11563.0,"Failing to surrender shotgun certificate, shotgun or ammunition on revocation of certificate - (Group II)",Yes
11564,11564.0,Failure to surrender certificate of registration on removal of firearm dealer's name from register,Yes
11565,11565.0,Making false statement in order to secure registration or entry in register of a place of business,Yes
11566,11566.0,Registered firearms dealer having place of business not entered in the register,Yes
11567,11567.0,Non-compliance with condition of registration - Firearms Act 1968,Yes
11568,11568.0,Non-compliance by firearms dealer with provisions as to register of transactions; making false entry in register,Yes
11569,11569.0,Obstructing constable or civilian officer in exercise of search powers,Yes
11570,11570.0,Failure to hand over firearm or ammunition on demand by constable - (Group I),Yes
11571,11571.0,Failure to hand over firearm or ammunition on demand by constable - (Group II),Yes
11572,11572.0,Failure to hand over firearm or ammunition on demand by constable - (Group III),Yes
11573,11573.0,Failure to comply with requirement of a constable that a person shall declare his name and address (Group I),Yes
11574,11574.0,Failure to comply with requirement of a constable that a person shall declare his name and address - (Group II),Yes
11575,11575.0,"Failure to give constable facilities for examination of firearms in transit, or to produce papers - (Group I)",Yes
11576,11576.0,Failure to surrender firearm certificate cancelled by court on conviction - (Group I),Yes
11577,11577.0,Failure to surrender shot gun certificate cancelled by court on conviction - (Group II),Yes
11578,11578.0,"Selling, letting on hire, giving or lending a shotgun. Failing to comply with the terms of the section - (Group II)",Yes
11579,11579.0,Selling shotgun ammunition to unauthorised person - (Group II),Yes
11580,11580.0,"Auctioneer, carrier or warehouseman failing to keep firearms and ammunition safe. Failing to report loss or theft",Yes
11581,11581.0,"Auctioneer, carrier or warehouseman failing to keep firearms and ammunition safe. Failing to report loss or theft - (Group II)",Yes
11582,11582.0,Making false statement to obtain a visitor's permit - (Group I),Yes
11583,11583.0,Failing to comply with conditions on a visitor's permit - (Group I),Yes
11584,11584.0,Making false statement to obtain a visitor's permit - (Group II),Yes
11585,11585.0,Failing to comply with conditions on a visitor's permit - (Group II),Yes
11586,11586.0,Firearms dealer failing to inform police of sale of firearm for export - (Group I),Yes
11587,11587.0,Firearms dealer failing to inform police of sale of firearm for export - (Group II),Yes
11588,11588.0,Failing to report a transaction authorised by a visitor's shotgun permit - (Group II),Yes
11590,11590.0,Obstructing a constable entering or inspecting an approved rifle/pistol club - (Group I),Yes
11591,11591.0,Making a false statement to obtain or not complying with museum licence; Failing to surrender a revoked museum licence,Yes
11592,11592.0,Making a false statement to obtain a permit to auction firearms etc - (Group I),Yes
